Instances,,,ScalableCA,,,,Alt-1,,,,Alt-2,,,,Alt-3,,,,Alt-4,,,,Alt-5,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
sparclite_sim,,470,485.0,1409.24,,470,485.0,2320.85,,545,577.6,6793.72,,695,704.9,631.78,,609,618.2,172114.91,,558,583.6,18502.63
stb,,493,508.0,1796.03,,493,508.0,2982.91,,559,596.9,8964.79,,755,766.9,793.86,,684,698.7,170937.62,,628,638.3,22834.29
stdeval1,,485,499.5,1560.73,,485,499.5,2538.73,,540,576.7,7865.16,,750,758.6,678.37,,671,678.0,171246.17,,616,627.2,21186.65
stm3210e_eval,,478,504.5,2031.72,,478,504.5,3236.40,,557,583.7,10144.85,,737,746.1,879.38,,672,679.7,171441.69,,616,622.6,22745.29
toybox,,46,48.8,9.15,,46,48.8,33.16,,49,51.1,20.18,,56,57.8,6.09,,41,41.4,5026.52,,48,49.0,18.01
ts1000,,503,533.7,2228.32,,503,533.7,3511.63,,562,618.6,11913.88,,784,797.1,924.53,,721,737.8,170584.86,,653,664.3,27457.42
ts6,,510,538.7,1898.02,,510,538.7,3024.22,,564,620.7,9885.66,,795,800.8,831.76,,719,734.9,171246.93,,655,664.7,24522.26
tx39_sim,,464,484.9,1451.68,,464,484.9,2402.22,,551,582.2,7406.59,,689,698.1,672.61,,604,613.2,170747.13,,572,582.3,18622.90
uClinux,,63,63.8,304.41,,63,63.8,943.27,,63,64.8,664.97,,68,69.1,239.25,,57,57.0,159581.14,,64,64.2,1142.31
uE250,,509,529.3,1795.23,,509,529.3,2919.91,,572,609.2,9061.72,,763,784.7,786.28,,698,717.3,171179.29,,639,654.0,22931.34
vads,,518,533.4,1960.94,,518,533.4,3117.80,,600,632.9,9543.42,,782,798.0,823.91,,713,730.6,171332.84,,659,669.7,22552.47
viper,,516,541.1,2231.74,,516,541.1,3564.87,,595,631.7,11312.64,,787,802.3,938.79,,731,743.2,171740.88,,660,667.1,26120.23
vrc4373,,487,509.3,1665.29,,487,509.3,2861.33,,538,583.1,9782.89,,739,748.1,761.06,,667,678.8,171154.28,,609,618.7,22061.76
vrc4375,,528,555.5,1873.03,,528,555.5,3037.48,,609,636.6,10991.83,,813,822.4,848.93,,748,758.3,171336.76,,667,686.7,25693.13
