Instances,,,ScalableCA,,,,SamplingCA,,,,CAmpactor,,,,Calot,,,,AETG,,,,ACTS,,,,JCunit,,,,TCA,,,,FastCA,,,,AutoCCAG,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
toybox,,46,48.8,9.15,,61,62.0,354.66,,41,41.7,5451.05,,--,--,--,,61,61,870.84,,57,57,310.03,,57,57,310.03,,61,61,870.84,,61,61,1614.08,,61,63.9,872.54
ts1000,,503,533.7,2228.32,,916,926.2,77665.73,,882,894.1,171166.44,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
ts6,,510,538.7,1898.02,,919,933.9,68572.08,,876,893.2,171864.84,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
tx39_sim,,464,484.9,1451.68,,809,821.9,51938.00,,746,760.4,172133.51,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
uClinux,,63,63.8,304.41,,77,78.0,21617.96,,59,59.1,163927.25,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
uE250,,509,529.3,1795.23,,879,898.7,69211.00,,835,857.7,171752.81,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
vads,,518,533.4,1960.94,,925,932.8,67749.71,,883,892.0,171111.63,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
viper,,516,541.1,2231.74,,913,928.3,80209.86,,880,897.7,171364.72,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
vrc4373,,487,509.3,1665.29,,857,873.5,64472.59,,811,828.9,171272.42,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
vrc4375,,528,555.5,1873.03,,944,952.6,71939.46,,906,916.0,171417.61,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
